Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,30,0,0,0,0,0,0,1,3,0.128,2,309,91.39,6,980
2017,1,1,1,30,0,0,0,0,0,0,1,3,0.128,2.4,302.1,91.88,6,980
2017,1,1,2,30,0,0,0,0,0,0,1,3,0.128,2.4,307.1,92.81,6,980
2017,1,1,3,30,0,0,0,0,0,0,1,4,0.128,2.2,316.8,93.34,6,980
2017,1,1,4,30,0,0,0,0,0,0,1,3,0.128,2.1,326,92.48,6,980
2017,1,1,5,30,0,0,0,0,0,0,1,3,0.128,2,336.6,98.8,5,980
2017,1,1,6,30,0,0,0,0,0,0,1,3,0.128,2.1,347.4,97.85,5,980
2017,1,1,7,30,32,266,54,32,266,54,1,4,0.128,2.5,4.4,87.24,7,980
2017,1,1,8,30,69,605,223,69,605,223,0,4,0.128,2.2,11.9,78.55,9,980
2017,1,1,9,30,87,751,383,87,751,383,0,4,0.128,1.6,0.8,68.93,11,980
2017,1,1,10,30,80,875,510,80,875,510,1,4,0.128,2.4,274.8,63.64,12,980
2017,1,1,11,30,86,893,568,86,893,568,1,4,0.128,3.4,262.2,59.58,13,980
2017,1,1,12,30,87,887,564,87,887,564,1,4,0.128,3.5,259.5,56.6,14,980
2017,1,1,13,30,81,864,498,81,864,498,1,4,0.128,3.5,252.9,57.23,14,980
2017,1,1,14,30,73,789,374,73,789,374,2,5,0.128,3.6,243.8,62.33,13,980
2017,1,1,15,30,59,629,209,59,629,209,2,5,0.128,3,236.9,73.8,11,980
2017,1,1,16,30,25,249,41,25,249,41,3,6,0.128,2,227.2,90.08,9,980
2017,1,1,17,30,0,0,0,0,0,0,4,6,0.128,1.9,220.4,99.91,8,980
2017,1,1,18,30,0,0,0,0,0,0,1,7,0.128,2.2,216.6,95.36,9,980
2017,1,1,19,30,0,0,0,0,0,0,4,7,0.128,2.2,219.6,95.84,9,980
2017,1,1,20,30,0,0,0,0,0,0,4,7,0.128,2,213.8,96.16,9,980
2017,1,1,21,30,0,0,0,0,0,0,8,7,0.128,1.9,203,96.21,9,980
2017,1,1,22,30,0,0,0,0,0,0,8,7,0.128,1.8,193.9,96.43,9,980
2017,1,1,23,30,0,0,0,0,0,0,4,7,0.128,1.7,190.6,97.05,9,980
2017,1,2,0,30,0,0,0,0,0,0,8,7,0.128,1.7,194.7,98.03,9,980
2017,1,2,1,30,0,0,0,0,0,0,8,7,0.128,1.8,207.8,98.79,9,980
2017,1,2,2,30,0,0,0,0,0,0,8,7,0.128,1.9,223,99.4,9,980
2017,1,2,3,30,0,0,0,0,0,0,8,7,0.128,1.7,231.6,99.29,9,980
2017,1,2,4,30,0,0,0,0,0,0,8,7,0.128,1.5,234.8,98.56,9,980
2017,1,2,5,30,0,0,0,0,0,0,8,7,0.128,1.5,224.9,97.54,9,980
2017,1,2,6,30,0,0,0,0,0,0,8,7,0.128,1.6,224.2,96.84,9,980
2017,1,2,7,30,7,0,7,33,213,50,4,7,0.128,1.7,206.6,95.9,9,980
2017,1,2,8,30,30,0,30,74,540,211,8,7,0.128,2,200.8,96.12,9,980
2017,1,2,9,30,52,0,52,92,699,367,8,7,0.128,2.4,206.3,88.2,10,980
2017,1,2,10,30,143,0,143,105,764,480,6,7,0.128,2.6,206.9,87.58,10,980
2017,1,2,11,30,183,7,187,109,797,540,8,6,0.128,2.8,201.2,87.14,10,980
2017,1,2,12,30,245,97,298,105,807,540,8,6,0.128,3.1,209.5,81.47,11,980
2017,1,2,13,30,212,246,332,100,776,476,8,6,0.128,3,218.4,80.59,11,980
2017,1,2,14,30,164,106,205,86,710,358,8,6,0.128,2.7,223.4,80.06,11,980
2017,1,2,15,30,97,76,115,64,570,202,7,6,0.128,1.9,225.9,85.43,10,980
2017,1,2,16,30,22,0,22,27,194,40,4,6,0.128,1,220,93.22,9,980
2017,1,2,17,30,0,0,0,0,0,0,8,6,0.128,0.8,206.8,92.5,9,980
2017,1,2,18,30,0,0,0,0,0,0,8,6,0.128,0.7,187,92.48,9,990
2017,1,2,19,30,0,0,0,0,0,0,8,6,0.128,0.6,169.6,92.16,9,990
2017,1,2,20,30,0,0,0,0,0,0,8,6,0.128,0.7,171.4,91.64,9,990
2017,1,2,21,30,0,0,0,0,0,0,8,6,0.128,0.8,165.6,91.98,9,990
2017,1,2,22,30,0,0,0,0,0,0,4,6,0.128,0.7,157.5,92.53,9,990
2017,1,2,23,30,0,0,0,0,0,0,8,6,0.128,0.6,156.3,93.02,9,990
2017,1,3,0,30,0,0,0,0,0,0,4,7,0.128,0.6,158.1,93.53,9,990
2017,1,3,1,30,0,0,0,0,0,0,8,7,0.128,0.6,142.1,94.29,9,990
2017,1,3,2,30,0,0,0,0,0,0,8,7,0.128,0.6,124.6,94.92,9,990
2017,1,3,3,30,0,0,0,0,0,0,8,7,0.128,0.6,107.5,95.4,9,990
2017,1,3,4,30,0,0,0,0,0,0,8,7,0.128,0.8,85.6,95.93,9,990
2017,1,3,5,30,0,0,0,0,0,0,8,7,0.128,1,82.6,96.56,9,990
2017,1,3,6,30,0,0,0,0,0,0,8,7,0.128,1.1,90.7,96.93,9,990
2017,1,3,7,30,30,112,39,28,310,54,8,7,0.128,1.3,100,97.62,9,990
2017,1,3,8,30,98,247,161,59,642,222,8,7,0.128,1.4,106,93.16,10,990
2017,1,3,9,30,156,306,277,71,790,382,8,7,0.128,1,118.9,79.78,12,990
2017,1,3,10,30,212,277,349,84,836,496,8,7,0.128,0.9,181.8,72.34,13,990
2017,1,3,11,30,252,149,333,84,871,557,8,6,0.128,1.2,216.7,70.89,13,990
2017,1,3,12,30,249,119,313,83,872,555,8,6,0.128,1.7,225.5,70.81,13,990
2017,1,3,13,30,202,44,223,79,843,490,8,6,0.128,2,235.7,71.17,13,990
2017,1,3,14,30,159,59,182,71,775,370,8,7,0.128,2.1,251.2,76.96,12,990
2017,1,3,15,30,94,39,103,55,636,210,8,7,0.128,1.5,262,83.64,11,990
2017,1,3,16,30,22,0,22,24,293,44,4,7,0.128,0.8,276.5,87.34,10,990
2017,1,3,17,30,0,0,0,0,0,0,7,7,0.128,0.6,295.2,89.96,10,990
2017,1,3,18,30,0,0,0,0,0,0,1,7,0.128,0.5,317.4,89.69,10,990
2017,1,3,19,30,0,0,0,0,0,0,0,7,0.128,0.5,306.2,89.65,10,990
2017,1,3,20,30,0,0,0,0,0,0,0,7,0.128,0.6,293.7,90.1,10,990
2017,1,3,21,30,0,0,0,0,0,0,0,7,0.128,0.5,304.6,90.63,9,990
2017,1,3,22,30,0,0,0,0,0,0,0,7,0.128,0.6,323.3,97.05,9,990
2017,1,3,23,30,0,0,0,0,0,0,0,7,0.128,0.8,328.4,97.04,9,990
2017,1,4,0,30,0,0,0,0,0,0,0,7,0.128,0.9,338.5,97.09,9,990
2017,1,4,1,30,0,0,0,0,0,0,1,7,0.128,0.9,347.1,96.95,9,990
2017,1,4,2,30,0,0,0,0,0,0,1,7,0.128,0.9,6.1,96.63,9,990
2017,1,4,3,30,0,0,0,0,0,0,1,7,0.128,0.9,43.4,95.89,9,990
2017,1,4,4,30,0,0,0,0,0,0,1,7,0.128,0.8,43.2,95.85,9,990
2017,1,4,5,30,0,0,0,0,0,0,1,7,0.128,0.7,53.5,96.08,9,990
2017,1,4,6,30,0,0,0,0,0,0,1,7,0.128,0.6,83.4,96.3,9,990
2017,1,4,7,30,29,283,52,29,283,52,1,7,0.128,0.8,110.6,97.72,9,990
2017,1,4,8,30,63,603,216,63,603,216,8,8,0.128,1.2,129.1,89.02,10,990
2017,1,4,9,30,122,506,322,79,741,372,8,8,0.128,1.6,173.8,87.09,11,990
2017,1,4,10,30,216,72,252,91,798,485,3,9,0.128,1.9,205.8,84.1,12,990
2017,1,4,11,30,251,116,314,98,816,542,7,9,0.128,2.3,219.9,85.55,13,990
2017,1,4,12,30,237,62,272,96,820,541,3,9,0.128,2.6,229.5,87.18,13,980
2017,1,4,13,30,181,15,188,96,778,477,3,10,0.128,2.8,234.4,88.07,13,980
2017,1,4,14,30,152,30,164,83,717,361,8,10,0.128,2.6,237.2,88.69,13,980
2017,1,4,15,30,90,13,94,60,600,207,3,10,0.128,2,240.1,95.29,12,980
2017,1,4,16,30,20,0,20,26,250,44,7,9,0.128,1.3,242.5,100,11,980
2017,1,4,17,30,0,0,0,0,0,0,8,9,0.128,0.7,244.7,100,11,980
2017,1,4,18,30,0,0,0,0,0,0,8,9,0.128,0.4,234.1,100,11,980
2017,1,4,19,30,0,0,0,0,0,0,8,9,0.128,0.4,195.3,100,11,980
2017,1,4,20,30,0,0,0,0,0,0,1,9,0.128,0.6,172.3,100,11,980
2017,1,4,21,30,0,0,0,0,0,0,8,9,0.128,0.9,178.5,100,11,980
2017,1,4,22,30,0,0,0,0,0,0,1,9,0.128,1.1,199.3,100,11,980
2017,1,4,23,30,0,0,0,0,0,0,1,9,0.128,1.4,207.6,100,11,980
2017,1,5,0,30,0,0,0,0,0,0,1,9,0.128,1.6,212.3,100,11,980
2017,1,5,1,30,0,0,0,0,0,0,3,11,0.128,1.7,211.6,100,12,980
2017,1,5,2,30,0,0,0,0,0,0,4,11,0.128,1.7,210.1,100,12,980
2017,1,5,3,30,0,0,0,0,0,0,3,11,0.128,1.7,211.4,100,12,980
2017,1,5,4,30,0,0,0,0,0,0,1,11,0.128,1.7,213.6,100,12,980
2017,1,5,5,30,0,0,0,0,0,0,3,11,0.128,1.7,213.1,100,12,980
2017,1,5,6,30,0,0,0,0,0,0,4,11,0.128,1.9,219.1,100,12,980
2017,1,5,7,30,26,324,53,26,324,53,1,11,0.128,2.3,227.1,100,12,980
2017,1,5,8,30,53,657,220,53,657,220,3,11,0.128,2.7,223.1,100,13,980
2017,1,5,9,30,77,0,77,64,795,378,3,13,0.128,2.9,231.5,100,14,980
2017,1,5,10,30,157,0,157,75,842,492,3,13,0.128,3.2,238.9,100,14,980
2017,1,5,11,30,130,0,130,79,868,553,3,13,0.128,3.7,249.4,97.4,15,980
2017,1,5,12,30,204,18,214,78,875,554,3,13,0.128,4,256.4,97.11,15,980
2017,1,5,13,30,182,15,189,77,840,490,4,13,0.128,4.3,257.9,89.22,16,980
2017,1,5,14,30,140,8,144,69,778,373,3,12,0.128,4.5,256.7,92.62,15,980
2017,1,5,15,30,83,0,83,52,660,216,4,12,0.128,3.9,259,96.78,14,980
2017,1,5,16,30,18,0,18,25,303,48,3,11,0.128,3,254.9,100,12,980
2017,1,5,17,30,0,0,0,0,0,0,2,11,0.128,2.4,259.2,100,12,980
2017,1,5,18,30,0,0,0,0,0,0,1,9,0.128,2.2,268,100,11,980
2017,1,5,19,30,0,0,0,0,0,0,1,9,0.128,2.1,273.6,100,11,980
2017,1,5,20,30,0,0,0,0,0,0,1,9,0.128,1.9,278.4,100,10,980
2017,1,5,21,30,0,0,0,0,0,0,1,9,0.128,1.8,290,100,10,980
2017,1,5,22,30,0,0,0,0,0,0,1,9,0.128,1.7,302.2,100,9,980
2017,1,5,23,30,0,0,0,0,0,0,1,8,0.128,1.6,329.4,100,9,980
2017,1,6,0,30,0,0,0,0,0,0,1,7,0.128,1.6,351,100,8,980
2017,1,6,1,30,0,0,0,0,0,0,1,7,0.128,1.6,8.6,100,8,980
2017,1,6,2,30,0,0,0,0,0,0,1,6,0.128,1.7,14,100,7,980
2017,1,6,3,30,0,0,0,0,0,0,1,6,0.128,1.8,18.1,100,7,980
2017,1,6,4,30,0,0,0,0,0,0,1,5,0.128,2,26.4,96.77,6,980
2017,1,6,5,30,0,0,0,0,0,0,1,4,0.128,2.2,36.7,99.37,6,980
2017,1,6,6,30,0,0,0,0,0,0,1,4,0.128,2.5,46.8,95.17,6,980
2017,1,6,7,30,27,379,58,27,379,58,1,4,0.128,3.2,55,83.06,8,980
2017,1,6,8,30,96,277,166,55,703,234,3,4,0.128,3.8,60,74.4,10,990
2017,1,6,9,30,107,584,339,69,830,398,8,3,0.128,3.9,66.4,61.34,12,990
2017,1,6,10,30,71,908,521,71,908,521,1,1,0.128,3.5,78.1,50.27,13,990
2017,1,6,11,30,73,934,584,73,934,584,1,1,0.128,2.4,84.6,42.53,14,980
2017,1,6,12,30,71,939,584,71,939,584,2,1,0.128,1.4,85.6,40.8,15,980
2017,1,6,13,30,69,912,519,69,912,519,1,1,0.128,1,73.7,40.66,16,980
2017,1,6,14,30,64,841,395,64,841,395,1,1,0.128,0.7,63.7,41.76,15,980
2017,1,6,15,30,51,714,230,51,714,230,1,2,0.128,0.3,80.9,50.63,14,980
2017,1,6,16,30,24,387,54,24,387,54,1,5,0.128,0.2,183.9,68.41,12,980
2017,1,6,17,30,0,0,0,0,0,0,3,4,0.128,0.4,283.7,72.71,10,990
2017,1,6,18,30,0,0,0,0,0,0,0,4,0.128,0.6,354.9,80.31,9,990
2017,1,6,19,30,0,0,0,0,0,0,0,4,0.128,1.1,33.4,78.84,9,990
2017,1,6,20,30,0,0,0,0,0,0,1,3,0.128,1.5,48.2,80.51,8,990
2017,1,6,21,30,0,0,0,0,0,0,0,3,0.128,1.8,59.7,76.26,8,990
2017,1,6,22,30,0,0,0,0,0,0,1,2,0.128,1.9,67.4,73.13,8,990
2017,1,6,23,30,0,0,0,0,0,0,8,2,0.128,2.1,66.4,71.16,8,990
2017,1,7,0,30,0,0,0,0,0,0,8,1,0.128,2.1,63.6,68.79,8,990
2017,1,7,1,30,0,0,0,0,0,0,8,1,0.128,2,64.6,67.11,8,990
