,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,0,2019-01-01,00:00,10.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
1,1,2019-01-01,01:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
2,2,2019-01-01,02:00,2.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
3,3,2019-01-01,03:00,2.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
4,4,2019-01-01,04:00,10.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
5,5,2019-01-01,05:00,12.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
6,6,2019-01-01,06:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
7,7,2019-01-01,07:00,15.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
8,8,2019-01-01,08:00,26.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
9,9,2019-01-01,09:00,30.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
10,10,2019-01-01,10:00,23.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
11,11,2019-01-01,11:00,19.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
12,12,2019-01-01,12:00,5.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
13,13,2019-01-01,13:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
14,14,2019-01-01,14:00,1.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
15,15,2019-01-01,15:00,9.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
16,16,2019-01-01,16:00,22.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
17,17,2019-01-01,17:00,7.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
18,18,2019-01-01,18:00,14.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
19,19,2019-01-01,19:00,19.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
20,20,2019-01-01,20:00,27.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
21,21,2019-01-01,21:00,18.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
22,22,2019-01-01,22:00,20.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
23,23,2019-01-01,23:00,29.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
24,24,2019-01-02,00:00,42.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
25,25,2019-01-02,01:00,46.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
26,26,2019-01-02,02:00,36.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
27,27,2019-01-02,03:00,29.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
28,28,2019-01-02,04:00,25.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
29,29,2019-01-02,05:00,19.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
30,30,2019-01-02,06:00,13.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
31,31,2019-01-02,07:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
32,32,2019-01-02,08:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
33,33,2019-01-02,09:00,169.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
34,34,2019-01-02,10:00,98.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
35,35,2019-01-02,11:00,44.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
36,36,2019-01-02,12:00,16.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
37,37,2019-01-02,13:00,9.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
38,38,2019-01-02,14:00,5.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
39,39,2019-01-02,15:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
40,40,2019-01-02,16:00,0.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
41,41,2019-01-02,17:00,5.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
42,42,2019-01-02,18:00,8.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
43,43,2019-01-02,19:00,14.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
44,44,2019-01-02,20:00,26.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
45,45,2019-01-02,21:00,24.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
46,46,2019-01-02,22:00,29.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
47,47,2019-01-02,23:00,30.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
48,48,2019-01-03,00:00,32.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
49,49,2019-01-03,01:00,33.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
50,50,2019-01-03,02:00,29.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
51,51,2019-01-03,03:00,21.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
52,52,2019-01-03,04:00,13.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
53,53,2019-01-03,05:00,11.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
54,54,2019-01-03,06:00,12.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,2.0
