,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,0,2018-01-01,00:00,26.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
1,1,2018-01-01,01:00,38.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
2,2,2018-01-01,02:00,42.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
3,3,2018-01-01,03:00,28.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
4,4,2018-01-01,04:00,17.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
5,5,2018-01-01,05:00,18.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
6,6,2018-01-01,06:00,17.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
7,7,2018-01-01,07:00,16.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
8,8,2018-01-01,08:00,13.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
9,9,2018-01-01,09:00,12.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
10,10,2018-01-01,10:00,22.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
11,11,2018-01-01,11:00,20.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
12,12,2018-01-01,12:00,10.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
13,13,2018-01-01,13:00,8.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
14,14,2018-01-01,14:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
15,15,2018-01-01,15:00,5.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
16,16,2018-01-01,16:00,5.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
17,17,2018-01-01,17:00,5.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
18,18,2018-01-01,18:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
19,19,2018-01-01,19:00,6.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
20,20,2018-01-01,20:00,13.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
21,21,2018-01-01,21:00,19.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
22,22,2018-01-01,22:00,19.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
23,23,2018-01-01,23:00,12.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
24,24,2018-01-02,00:00,9.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
25,25,2018-01-02,01:00,6.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
26,26,2018-01-02,02:00,15.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
27,27,2018-01-02,03:00,9.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
28,28,2018-01-02,04:00,12.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
29,29,2018-01-02,05:00,11.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
30,30,2018-01-02,06:00,15.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
31,31,2018-01-02,07:00,10.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
32,32,2018-01-02,08:00,14.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
33,33,2018-01-02,09:00,9.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
34,34,2018-01-02,10:00,13.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
35,35,2018-01-02,11:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
36,36,2018-01-02,12:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
37,37,2018-01-02,13:00,3.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
38,38,2018-01-02,14:00,1.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
39,39,2018-01-02,15:00,1.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
40,40,2018-01-02,16:00,0.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
41,41,2018-01-02,17:00,0.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
42,42,2018-01-02,18:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
43,43,2018-01-02,19:00,9.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
44,44,2018-01-02,20:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
45,45,2018-01-02,21:00,6.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
46,46,2018-01-02,22:00,8.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
47,47,2018-01-02,23:00,15.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
48,48,2018-01-03,00:00,14.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
49,49,2018-01-03,01:00,8.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
50,50,2018-01-03,02:00,5.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
51,51,2018-01-03,03:00,5.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
52,52,2018-01-03,04:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
53,53,2018-01-03,05:00,2.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
54,54,2018-01-03,06:00,8.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
55,55,2018-01-03,07:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
56,56,2018-01-03,08:00,9.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
57,57,2018-01-03,09:00,8.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
58,58,2018-01-03,10:00,4.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
59,59,2018-01-03,11:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
60,60,2018-01-03,12:00,2.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
61,61,2018-01-03,13:00,0.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
62,62,2018-01-03,14:00,0.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
63,63,2018-01-03,15:00,1.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
64,64,2018-01-03,16:00,2.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
65,65,2018-01-03,17:00,3.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
66,66,2018-01-03,18:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
67,67,2018-01-03,19:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
68,68,2018-01-03,20:00,14.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
69,69,2018-01-03,21:00,11.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
70,70,2018-01-03,22:00,23.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
71,71,2018-01-03,23:00,22.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
72,72,2018-01-04,00:00,13.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
73,73,2018-01-04,01:00,11.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
74,74,2018-01-04,02:00,9.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
75,75,2018-01-04,03:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
76,76,2018-01-04,04:00,8.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
77,77,2018-01-04,05:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
78,78,2018-01-04,06:00,5.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
79,79,2018-01-04,07:00,9.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
80,80,2018-01-04,08:00,10.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
81,81,2018-01-04,09:00,7.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
82,82,2018-01-04,10:00,7.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
83,83,2018-01-04,11:00,6.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
84,84,2018-01-04,12:00,6.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
85,85,2018-01-04,13:00,15.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
86,86,2018-01-04,14:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
87,87,2018-01-04,15:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
88,88,2018-01-04,16:00,3.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
89,89,2018-01-04,17:00,5.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
90,90,2018-01-04,18:00,5.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
91,91,2018-01-04,19:00,13.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
92,92,2018-01-04,20:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
93,93,2018-01-04,21:00,10.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
94,94,2018-01-04,22:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
95,95,2018-01-04,23:00,5.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
96,96,2018-01-05,00:00,5.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
97,97,2018-01-05,01:00,3.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
98,98,2018-01-05,02:00,0.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
99,99,2018-01-05,03:00,-1.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
100,100,2018-01-05,04:00,2.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
101,101,2018-01-05,05:00,3.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
102,102,2018-01-05,06:00,9.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
103,103,2018-01-05,07:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
104,104,2018-01-05,08:00,6.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
105,105,2018-01-05,09:00,10.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
106,106,2018-01-05,10:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
107,107,2018-01-05,11:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
108,108,2018-01-05,12:00,6.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
109,109,2018-01-05,13:00,4.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
110,110,2018-01-05,14:00,3.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
111,111,2018-01-05,15:00,2.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
112,112,2018-01-05,16:00,1.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
113,113,2018-01-05,17:00,2.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
114,114,2018-01-05,18:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
115,115,2018-01-05,19:00,5.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
116,116,2018-01-05,20:00,6.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
117,117,2018-01-05,21:00,10.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
