Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,30,0,0,0,0,0,0,0,-5,0.128,4,55.7,49,5,990
2016,1,1,1,30,0,0,0,0,0,0,0,-5,0.128,4.1,55.7,48.97,5,990
2016,1,1,2,30,0,0,0,0,0,0,0,-5,0.128,4.2,56,48.97,5,990
2016,1,1,3,30,0,0,0,0,0,0,0,-5,0.128,4.4,55.9,49.29,5,990
2016,1,1,4,30,0,0,0,0,0,0,0,-5,0.128,4.6,54.7,49.52,5,990
2016,1,1,5,30,0,0,0,0,0,0,1,-5,0.128,4.7,54.1,49.75,5,990
2016,1,1,6,30,0,0,0,0,0,0,1,-5,0.128,5,54.3,50.38,5,990
2016,1,1,7,30,26,427,61,26,427,61,1,-5,0.128,5.5,54.2,44.48,7,990
2016,1,1,8,30,51,740,239,51,740,239,0,-5,0.128,5.6,55.1,39.31,9,990
2016,1,1,9,30,64,860,402,64,860,402,0,-5,0.128,4.8,62.1,31.35,12,990
2016,1,1,10,30,68,922,521,68,922,521,0,-6,0.128,3.4,73.2,25.88,14,990
2016,1,1,11,30,72,942,580,72,942,580,0,-6,0.128,2.1,87.9,23.57,15,990
2016,1,1,12,30,72,938,575,72,938,575,1,-6,0.128,1.2,105,22.06,16,990
2016,1,1,13,30,70,906,507,70,906,507,1,-6,0.128,0.5,122.4,22.18,16,990
2016,1,1,14,30,64,837,382,64,837,382,0,-6,0.128,0.3,165.2,24.3,15,990
2016,1,1,15,30,51,694,215,51,694,215,1,-4,0.128,0.5,255.3,29.37,14,990
2016,1,1,16,30,21,331,42,21,331,42,1,-1,0.128,0.7,304.4,43.78,11,990
2016,1,1,17,30,0,0,0,0,0,0,4,-2,0.128,1.1,334.9,47.75,9,990
2016,1,1,18,30,0,0,0,0,0,0,8,-2,0.128,1.6,5,50.34,8,990
2016,1,1,19,30,0,0,0,0,0,0,8,-2,0.128,2,25.6,49.35,8,990
2016,1,1,20,30,0,0,0,0,0,0,8,-3,0.128,2.4,35.7,48.62,8,990
2016,1,1,21,30,0,0,0,0,0,0,4,-3,0.128,2.7,42.5,48.21,8,990
2016,1,1,22,30,0,0,0,0,0,0,8,-3,0.128,2.8,50.1,47.91,8,990
2016,1,1,23,30,0,0,0,0,0,0,8,-3,0.128,2.8,55.5,47.45,8,990
2016,1,2,0,30,0,0,0,0,0,0,8,-3,0.128,2.6,60.3,47.24,8,990
2016,1,2,1,30,0,0,0,0,0,0,1,-3,0.128,2.4,63.9,47.47,8,990
2016,1,2,2,30,0,0,0,0,0,0,8,-3,0.128,2.3,66.9,47.69,8,990
2016,1,2,3,30,0,0,0,0,0,0,8,-3,0.128,2.3,69.1,48.12,8,990
2016,1,2,4,30,0,0,0,0,0,0,8,-3,0.128,2.3,71.2,48.66,8,990
2016,1,2,5,30,0,0,0,0,0,0,8,-2,0.128,2.4,74.6,49.18,8,990
2016,1,2,6,30,0,0,0,0,0,0,1,-2,0.128,2.5,77.3,49.85,8,990
2016,1,2,7,30,26,377,58,26,377,58,4,-2,0.128,3,75.5,44.42,10,990
2016,1,2,8,30,53,707,234,53,707,234,7,-2,0.128,3.3,72.1,37.98,12,990
2016,1,2,9,30,169,159,232,66,839,397,4,-2,0.128,3.3,89.7,31.06,15,990
2016,1,2,10,30,218,87,261,74,901,516,8,-2,0.128,3.3,124,29.2,16,990
2016,1,2,11,30,77,923,576,77,923,576,1,-2,0.128,3.3,139.4,28.44,17,980
2016,1,2,12,30,227,337,409,78,917,571,4,-1,0.128,3.4,150.7,30.26,17,980
2016,1,2,13,30,75,885,503,75,885,503,2,0,0.128,3.3,159.1,32.84,17,980
2016,1,2,14,30,69,810,378,69,810,378,0,1,0.128,2.7,166,38.65,16,980
2016,1,2,15,30,54,661,212,54,661,212,1,3,0.128,1.8,176.2,51.68,14,980
2016,1,2,16,30,23,297,42,23,297,42,4,5,0.128,1.1,192.8,67.28,12,980
2016,1,2,17,30,0,0,0,0,0,0,3,5,0.128,0.6,202.5,74.17,11,980
2016,1,2,18,30,0,0,0,0,0,0,3,5,0.128,0.6,144.2,75.99,11,980
2016,1,2,19,30,0,0,0,0,0,0,8,5,0.128,1.1,78.2,79.91,10,980
2016,1,2,20,30,0,0,0,0,0,0,8,5,0.128,1.3,86.4,76.6,10,980
2016,1,2,21,30,0,0,0,0,0,0,8,4,0.128,1.4,99.2,74.1,10,980
2016,1,2,22,30,0,0,0,0,0,0,4,4,0.128,1.5,105.3,77.59,9,980
2016,1,2,23,30,0,0,0,0,0,0,8,3,0.128,1.6,104.2,75.6,9,980
2016,1,3,0,30,0,0,0,0,0,0,0,3,0.128,1.6,102.5,73.02,9,980
2016,1,3,1,30,0,0,0,0,0,0,0,2,0.128,1.6,96.4,75.46,8,980
2016,1,3,2,30,0,0,0,0,0,0,8,2,0.128,1.5,87.3,72.74,8,980
2016,1,3,3,30,0,0,0,0,0,0,4,2,0.128,1.5,84.1,70.52,8,980
