,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,0,2018-01-01,00:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
1,1,2018-01-01,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
2,2,2018-01-01,02:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
3,3,2018-01-01,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
4,4,2018-01-01,04:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
5,5,2018-01-01,05:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
6,6,2018-01-01,06:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
7,7,2018-01-01,07:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
8,8,2018-01-01,08:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
9,9,2018-01-01,09:00,0.015,Parts per million,1 HOUR,HOURLY,0.005
10,10,2018-01-01,10:00,0.025,Parts per million,1 HOUR,HOURLY,0.005
11,11,2018-01-01,11:00,0.037,Parts per million,1 HOUR,HOURLY,0.005
12,12,2018-01-01,12:00,0.043,Parts per million,1 HOUR,HOURLY,0.005
13,13,2018-01-01,13:00,0.045,Parts per million,1 HOUR,HOURLY,0.005
14,14,2018-01-01,14:00,0.044,Parts per million,1 HOUR,HOURLY,0.005
15,15,2018-01-01,15:00,0.035,Parts per million,1 HOUR,HOURLY,0.005
16,16,2018-01-01,16:00,0.038,Parts per million,1 HOUR,HOURLY,0.005
17,17,2018-01-01,17:00,0.038,Parts per million,1 HOUR,HOURLY,0.005
18,18,2018-01-01,18:00,0.03,Parts per million,1 HOUR,HOURLY,0.005
19,19,2018-01-01,19:00,0.022,Parts per million,1 HOUR,HOURLY,0.005
20,20,2018-01-01,20:00,0.006,Parts per million,1 HOUR,HOURLY,0.005
21,21,2018-01-01,21:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
22,22,2018-01-01,22:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
23,23,2018-01-01,23:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
24,24,2018-01-02,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
25,25,2018-01-02,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
26,26,2018-01-02,02:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
27,27,2018-01-02,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
28,28,2018-01-02,04:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
29,29,2018-01-02,05:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
30,30,2018-01-02,06:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
31,31,2018-01-02,07:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
32,32,2018-01-02,08:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
33,33,2018-01-02,09:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
34,34,2018-01-02,10:00,0.015,Parts per million,1 HOUR,HOURLY,0.005
35,35,2018-01-02,11:00,0.03,Parts per million,1 HOUR,HOURLY,0.005
36,36,2018-01-02,12:00,0.036,Parts per million,1 HOUR,HOURLY,0.005
37,37,2018-01-02,13:00,0.035,Parts per million,1 HOUR,HOURLY,0.005
38,38,2018-01-02,14:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
39,39,2018-01-02,15:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
40,40,2018-01-02,16:00,0.02,Parts per million,1 HOUR,HOURLY,0.005
41,41,2018-01-02,17:00,0.008,Parts per million,1 HOUR,HOURLY,0.005
42,42,2018-01-02,18:00,0.006,Parts per million,1 HOUR,HOURLY,0.005
43,43,2018-01-02,19:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
44,44,2018-01-02,20:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
45,45,2018-01-02,21:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
46,46,2018-01-02,22:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
47,47,2018-01-02,23:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
48,48,2018-01-03,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
49,49,2018-01-03,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
50,50,2018-01-03,02:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
51,51,2018-01-03,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
52,52,2018-01-03,04:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
53,53,2018-01-03,05:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
54,54,2018-01-03,06:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
55,55,2018-01-03,07:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
56,56,2018-01-03,08:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
57,57,2018-01-03,09:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
58,58,2018-01-03,10:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
59,59,2018-01-03,11:00,0.005,Parts per million,1 HOUR,HOURLY,0.005
60,60,2018-01-03,12:00,0.008,Parts per million,1 HOUR,HOURLY,0.005
61,61,2018-01-03,13:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
62,62,2018-01-03,14:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
63,63,2018-01-03,15:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
64,64,2018-01-03,16:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
65,65,2018-01-03,17:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
66,66,2018-01-03,18:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
67,67,2018-01-03,19:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
68,68,2018-01-03,20:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
69,69,2018-01-03,21:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
70,70,2018-01-03,22:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
71,71,2018-01-03,23:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
72,72,2018-01-04,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
73,73,2018-01-04,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
74,74,2018-01-04,02:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
75,75,2018-01-04,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
76,76,2018-01-04,04:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
77,77,2018-01-04,05:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
78,78,2018-01-04,06:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
79,79,2018-01-04,07:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
80,80,2018-01-04,08:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
81,81,2018-01-04,09:00,0.005,Parts per million,1 HOUR,HOURLY,0.005
82,82,2018-01-04,10:00,0.009,Parts per million,1 HOUR,HOURLY,0.005
83,83,2018-01-04,11:00,0.011,Parts per million,1 HOUR,HOURLY,0.005
84,84,2018-01-04,12:00,0.021,Parts per million,1 HOUR,HOURLY,0.005
85,85,2018-01-04,13:00,0.019,Parts per million,1 HOUR,HOURLY,0.005
86,86,2018-01-04,14:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
87,87,2018-01-04,15:00,0.019,Parts per million,1 HOUR,HOURLY,0.005
88,88,2018-01-04,16:00,0.022,Parts per million,1 HOUR,HOURLY,0.005
89,89,2018-01-04,17:00,0.028,Parts per million,1 HOUR,HOURLY,0.005
90,90,2018-01-04,18:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
91,91,2018-01-04,19:00,0.013,Parts per million,1 HOUR,HOURLY,0.005
92,92,2018-01-04,20:00,0.006,Parts per million,1 HOUR,HOURLY,0.005
93,93,2018-01-04,21:00,0.008,Parts per million,1 HOUR,HOURLY,0.005
94,94,2018-01-04,22:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
95,95,2018-01-04,23:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
96,96,2018-01-05,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
97,97,2018-01-05,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
98,98,2018-01-05,02:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
99,99,2018-01-05,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
100,100,2018-01-05,04:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
101,101,2018-01-05,05:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
102,102,2018-01-05,06:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
103,103,2018-01-05,07:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
104,104,2018-01-05,08:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
105,105,2018-01-05,09:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
106,106,2018-01-05,10:00,0.013,Parts per million,1 HOUR,HOURLY,0.005
107,107,2018-01-05,11:00,0.015,Parts per million,1 HOUR,HOURLY,0.005
108,108,2018-01-05,12:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
109,109,2018-01-05,13:00,0.025,Parts per million,1 HOUR,HOURLY,0.005
110,110,2018-01-05,14:00,0.025,Parts per million,1 HOUR,HOURLY,0.005
111,111,2018-01-05,15:00,0.025,Parts per million,1 HOUR,HOURLY,0.005
112,112,2018-01-05,16:00,0.018,Parts per million,1 HOUR,HOURLY,0.005
113,113,2018-01-05,17:00,0.013,Parts per million,1 HOUR,HOURLY,0.005
114,114,2018-01-05,18:00,0.006,Parts per million,1 HOUR,HOURLY,0.005
115,115,2018-01-05,19:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
116,116,2018-01-05,20:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
117,117,2018-01-05,21:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
118,118,2018-01-05,22:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
119,119,2018-01-05,23:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
120,120,2018-01-06,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
121,121,2018-01-06,01:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
122,122,2018-01-06,02:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
123,123,2018-01-06,03:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
124,124,2018-01-06,04:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
125,125,2018-01-06,05:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
126,126,2018-01-06,06:00,0.0,Parts per million,1 HOUR,HOURLY,0.005
127,127,2018-01-06,07:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
128,128,2018-01-06,08:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
129,129,2018-01-06,09:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
130,130,2018-01-06,10:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
131,131,2018-01-06,11:00,0.011,Parts per million,1 HOUR,HOURLY,0.005
132,132,2018-01-06,12:00,0.014,Parts per million,1 HOUR,HOURLY,0.005
133,133,2018-01-06,13:00,0.013,Parts per million,1 HOUR,HOURLY,0.005
134,134,2018-01-06,14:00,0.014,Parts per million,1 HOUR,HOURLY,0.005
135,135,2018-01-06,15:00,0.012,Parts per million,1 HOUR,HOURLY,0.005
136,136,2018-01-06,16:00,0.012,Parts per million,1 HOUR,HOURLY,0.005
137,137,2018-01-06,17:00,0.014,Parts per million,1 HOUR,HOURLY,0.005
138,138,2018-01-06,18:00,0.012,Parts per million,1 HOUR,HOURLY,0.005
139,139,2018-01-06,19:00,0.013,Parts per million,1 HOUR,HOURLY,0.005
140,140,2018-01-06,20:00,0.01,Parts per million,1 HOUR,HOURLY,0.005
141,141,2018-01-06,21:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
142,142,2018-01-06,22:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
143,143,2018-01-06,23:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
144,144,2018-01-07,00:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
145,145,2018-01-07,01:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
146,146,2018-01-07,02:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
147,147,2018-01-07,03:00,0.001,Parts per million,1 HOUR,HOURLY,0.005
