,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
53,9071,2017-01-03,05:00,17.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
54,9070,2017-01-03,06:00,11.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
55,9069,2017-01-03,07:00,16.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
56,9068,2017-01-03,08:00,24.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
57,9067,2017-01-03,09:00,20.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
58,9066,2017-01-03,10:00,30.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
59,9065,2017-01-03,11:00,18.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
60,9064,2017-01-03,12:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
61,9063,2017-01-03,13:00,9.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
62,9062,2017-01-03,14:00,14.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
63,9061,2017-01-03,15:00,17.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
64,9060,2017-01-03,16:00,13.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
65,9059,2017-01-03,17:00,13.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
66,9058,2017-01-03,18:00,12.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
67,9057,2017-01-03,19:00,28.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
68,9056,2017-01-03,20:00,17.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
69,9055,2017-01-03,21:00,21.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
70,9054,2017-01-03,22:00,17.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
71,9053,2017-01-03,23:00,17.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
72,9052,2017-01-04,00:00,29.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
73,9051,2017-01-04,01:00,28.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
74,9050,2017-01-04,02:00,30.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
75,9049,2017-01-04,03:00,26.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
76,9048,2017-01-04,04:00,27.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
77,9047,2017-01-04,05:00,27.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
78,9046,2017-01-04,06:00,27.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
79,9045,2017-01-04,07:00,24.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
80,9044,2017-01-04,08:00,31.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
81,9043,2017-01-04,09:00,34.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
82,9042,2017-01-04,10:00,20.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
83,9041,2017-01-04,11:00,8.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
84,9040,2017-01-04,12:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
85,9039,2017-01-04,13:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
86,9038,2017-01-04,14:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
87,9037,2017-01-04,15:00,11.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
88,9036,2017-01-04,16:00,11.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
89,9035,2017-01-04,17:00,16.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
90,9034,2017-01-04,18:00,11.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
91,9033,2017-01-04,19:00,19.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
92,9032,2017-01-04,20:00,22.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
93,9031,2017-01-04,21:00,14.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
