,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,0,2017-01-01,01:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
1,1,2017-01-01,02:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
2,2,2017-01-01,03:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
3,3,2017-01-01,04:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
4,4,2017-01-01,05:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
5,5,2017-01-01,06:00,0.9,Parts per billion,1 HOUR,HOURLY,0.2
6,6,2017-01-01,07:00,0.7,Parts per billion,1 HOUR,HOURLY,0.2
7,7,2017-01-01,08:00,1.0,Parts per billion,1 HOUR,HOURLY,0.2
8,8,2017-01-01,09:00,1.0,Parts per billion,1 HOUR,HOURLY,0.2
9,9,2017-01-01,10:00,0.8,Parts per billion,1 HOUR,HOURLY,0.2
10,10,2017-01-01,11:00,0.9,Parts per billion,1 HOUR,HOURLY,0.2
11,11,2017-01-01,12:00,0.6,Parts per billion,1 HOUR,HOURLY,0.2
12,12,2017-01-01,13:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
13,13,2017-01-01,14:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
14,14,2017-01-01,15:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
15,15,2017-01-01,16:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
16,16,2017-01-01,17:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
17,17,2017-01-01,18:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
18,18,2017-01-01,19:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
19,19,2017-01-01,20:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
20,20,2017-01-01,21:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
21,21,2017-01-01,22:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
22,22,2017-01-01,23:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
23,23,2017-01-02,00:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
24,24,2017-01-02,01:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
25,25,2017-01-02,02:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
26,26,2017-01-02,03:00,0.7,Parts per billion,1 HOUR,HOURLY,0.2
27,27,2017-01-02,04:00,0.8,Parts per billion,1 HOUR,HOURLY,0.2
28,28,2017-01-02,05:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
29,29,2017-01-02,06:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
30,30,2017-01-02,07:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
31,31,2017-01-02,08:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
32,32,2017-01-02,09:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
33,33,2017-01-02,10:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
34,34,2017-01-02,11:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
35,35,2017-01-02,12:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
36,36,2017-01-02,13:00,0.3,Parts per billion,1 HOUR,HOURLY,0.2
37,37,2017-01-02,14:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
38,38,2017-01-02,15:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
39,39,2017-01-02,16:00,0.6,Parts per billion,1 HOUR,HOURLY,0.2
40,40,2017-01-02,17:00,0.5,Parts per billion,1 HOUR,HOURLY,0.2
41,41,2017-01-02,18:00,0.4,Parts per billion,1 HOUR,HOURLY,0.2
42,42,2017-01-02,19:00,0.3,Parts per billion,1 HOUR,HOURLY,0.2
