date,time,tempC,windspeedKmph,winddirDegree,precipMM,humidity,visibility,pressure,cloudcover,DewPointC,WindGustKmph
2017-01-01,0,8,3,253,0.1,85,10,1013,8,5,4
2017-01-01,100,7,4,275,0.0,83,10,1013,10,5,7
2017-01-01,200,7,5,298,0.0,81,10,1013,12,4,10
2017-01-01,300,7,6,320,0.0,80,10,1013,13,3,12
2017-01-01,400,7,6,325,0.0,79,10,1013,11,3,11
2017-01-01,500,7,5,329,0.0,78,10,1013,9,3,10
2017-01-01,600,6,5,334,0.0,77,10,1013,7,3,9
2017-01-01,700,9,6,259,0.0,70,10,1013,5,3,9
2017-01-01,800,11,7,185,0.0,63,10,1013,2,4,9
2017-01-01,900,13,8,110,0.0,55,10,1013,0,5,9
2017-01-01,1000,13,10,142,0.0,55,10,1013,1,4,11
2017-01-01,1100,13,12,174,0.0,55,10,1013,1,4,14
2017-01-01,1200,13,14,205,0.0,55,10,1013,2,4,16
2017-01-01,1300,13,12,192,0.0,56,10,1013,1,5,14
2017-01-01,1400,14,10,179,0.0,58,10,1013,1,6,13
2017-01-01,1500,14,9,166,0.0,59,10,1013,0,6,11
2017-01-01,1600,12,7,150,0.0,66,10,1014,22,6,9
2017-01-01,1700,11,5,134,0.0,73,10,1014,44,6,8
2017-01-01,1800,9,4,118,0.0,80,10,1015,66,6,7
2017-01-01,1900,9,6,107,0.0,79,10,1015,68,6,10
2017-01-01,2000,9,8,96,0.0,79,10,1016,70,6,13
2017-01-01,2100,9,10,85,0.0,79,10,1016,72,6,16
2017-01-01,2200,9,10,89,0.0,80,10,1016,74,6,15
2017-01-01,2300,9,9,92,0.0,81,10,1016,76,6,14
2017-01-02,0,9,9,96,0.0,82,10,1016,78,6,13
2017-01-02,100,9,8,105,0.0,82,10,1016,83,6,12
2017-01-02,200,9,7,114,0.1,82,10,1016,88,6,10
2017-01-02,300,9,6,123,0.1,82,10,1017,94,6,9
2017-01-02,400,9,6,118,0.0,82,10,1017,93,6,9
2017-01-02,500,9,6,112,0.0,82,10,1017,92,6,9
2017-01-02,600,9,6,107,0.0,82,10,1017,91,6,9
2017-01-02,700,10,8,107,0.0,78,10,1018,94,6,11
2017-01-02,800,11,10,108,0.0,74,10,1018,97,6,13
