,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,0,2016-01-01,00:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
1,1,2016-01-01,01:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
2,2,2016-01-01,02:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
3,3,2016-01-01,03:00,0.003,Parts per million,1 HOUR,HOURLY,0.005
4,4,2016-01-01,04:00,,Parts per million,1 HOUR,HOURLY,0.005
5,5,2016-01-01,05:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
6,6,2016-01-01,06:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
7,7,2016-01-01,07:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
8,8,2016-01-01,08:00,0.018,Parts per million,1 HOUR,HOURLY,0.005
9,9,2016-01-01,09:00,0.025,Parts per million,1 HOUR,HOURLY,0.005
10,10,2016-01-01,10:00,0.03,Parts per million,1 HOUR,HOURLY,0.005
11,11,2016-01-01,11:00,0.037,Parts per million,1 HOUR,HOURLY,0.005
12,12,2016-01-01,12:00,0.039,Parts per million,1 HOUR,HOURLY,0.005
13,13,2016-01-01,13:00,0.042,Parts per million,1 HOUR,HOURLY,0.005
14,14,2016-01-01,14:00,0.044,Parts per million,1 HOUR,HOURLY,0.005
15,15,2016-01-01,15:00,0.044,Parts per million,1 HOUR,HOURLY,0.005
16,16,2016-01-01,16:00,0.037,Parts per million,1 HOUR,HOURLY,0.005
17,17,2016-01-01,17:00,0.018,Parts per million,1 HOUR,HOURLY,0.005
18,18,2016-01-01,18:00,0.012,Parts per million,1 HOUR,HOURLY,0.005
19,19,2016-01-01,19:00,0.008,Parts per million,1 HOUR,HOURLY,0.005
20,20,2016-01-01,20:00,0.01,Parts per million,1 HOUR,HOURLY,0.005
21,21,2016-01-01,21:00,0.004,Parts per million,1 HOUR,HOURLY,0.005
22,22,2016-01-01,22:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
23,23,2016-01-01,23:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
24,24,2016-01-02,00:00,0.01,Parts per million,1 HOUR,HOURLY,0.005
25,25,2016-01-02,01:00,0.009,Parts per million,1 HOUR,HOURLY,0.005
26,26,2016-01-02,02:00,0.012,Parts per million,1 HOUR,HOURLY,0.005
27,27,2016-01-02,03:00,0.011,Parts per million,1 HOUR,HOURLY,0.005
28,28,2016-01-02,04:00,,Parts per million,1 HOUR,HOURLY,0.005
29,29,2016-01-02,05:00,0.007,Parts per million,1 HOUR,HOURLY,0.005
30,30,2016-01-02,06:00,0.009,Parts per million,1 HOUR,HOURLY,0.005
31,31,2016-01-02,07:00,0.005,Parts per million,1 HOUR,HOURLY,0.005
32,32,2016-01-02,08:00,0.015,Parts per million,1 HOUR,HOURLY,0.005
33,33,2016-01-02,09:00,0.017,Parts per million,1 HOUR,HOURLY,0.005
34,34,2016-01-02,10:00,0.021,Parts per million,1 HOUR,HOURLY,0.005
35,35,2016-01-02,11:00,0.027,Parts per million,1 HOUR,HOURLY,0.005
36,36,2016-01-02,12:00,0.032,Parts per million,1 HOUR,HOURLY,0.005
37,37,2016-01-02,13:00,0.034,Parts per million,1 HOUR,HOURLY,0.005
38,38,2016-01-02,14:00,0.033,Parts per million,1 HOUR,HOURLY,0.005
39,39,2016-01-02,15:00,0.03,Parts per million,1 HOUR,HOURLY,0.005
40,40,2016-01-02,16:00,0.024,Parts per million,1 HOUR,HOURLY,0.005
41,41,2016-01-02,17:00,0.018,Parts per million,1 HOUR,HOURLY,0.005
42,42,2016-01-02,18:00,0.009,Parts per million,1 HOUR,HOURLY,0.005
43,43,2016-01-02,19:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
44,44,2016-01-02,20:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
45,45,2016-01-02,21:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
46,46,2016-01-02,22:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
47,47,2016-01-02,23:00,0.002,Parts per million,1 HOUR,HOURLY,0.005
