,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,8759,2018-01-01,00:00,33.8,Parts per billion,1 HOUR,HOURLY,1.0
1,8758,2018-01-01,01:00,31.2,Parts per billion,1 HOUR,HOURLY,1.0
2,8757,2018-01-01,02:00,29.5,Parts per billion,1 HOUR,HOURLY,1.0
3,8756,2018-01-01,03:00,28.0,Parts per billion,1 HOUR,HOURLY,1.0
4,8755,2018-01-01,04:00,24.2,Parts per billion,1 HOUR,HOURLY,1.0
5,8754,2018-01-01,05:00,23.5,Parts per billion,1 HOUR,HOURLY,1.0
6,8753,2018-01-01,06:00,22.6,Parts per billion,1 HOUR,HOURLY,1.0
7,8752,2018-01-01,07:00,22.2,Parts per billion,1 HOUR,HOURLY,1.0
8,8751,2018-01-01,08:00,41.8,Parts per billion,1 HOUR,HOURLY,1.0
9,8750,2018-01-01,09:00,31.6,Parts per billion,1 HOUR,HOURLY,1.0
10,8749,2018-01-01,10:00,25.9,Parts per billion,1 HOUR,HOURLY,1.0
11,8748,2018-01-01,11:00,24.2,Parts per billion,1 HOUR,HOURLY,1.0
12,8747,2018-01-01,12:00,30.5,Parts per billion,1 HOUR,HOURLY,1.0
13,8746,2018-01-01,13:00,25.7,Parts per billion,1 HOUR,HOURLY,1.0
14,8745,2018-01-01,14:00,33.9,Parts per billion,1 HOUR,HOURLY,1.0
15,8744,2018-01-01,15:00,26.3,Parts per billion,1 HOUR,HOURLY,1.0
16,8743,2018-01-01,16:00,13.8,Parts per billion,1 HOUR,HOURLY,1.0
17,8742,2018-01-01,17:00,14.3,Parts per billion,1 HOUR,HOURLY,1.0
18,8741,2018-01-01,18:00,12.9,Parts per billion,1 HOUR,HOURLY,1.0
19,8740,2018-01-01,19:00,22.3,Parts per billion,1 HOUR,HOURLY,1.0
20,8739,2018-01-01,20:00,24.7,Parts per billion,1 HOUR,HOURLY,1.0
21,8738,2018-01-01,21:00,24.3,Parts per billion,1 HOUR,HOURLY,1.0
22,8737,2018-01-01,22:00,24.3,Parts per billion,1 HOUR,HOURLY,1.0
23,8736,2018-01-01,23:00,25.3,Parts per billion,1 HOUR,HOURLY,1.0
24,8735,2018-01-02,00:00,25.6,Parts per billion,1 HOUR,HOURLY,1.0
25,8734,2018-01-02,01:00,24.0,Parts per billion,1 HOUR,HOURLY,1.0
26,8733,2018-01-02,02:00,23.8,Parts per billion,1 HOUR,HOURLY,1.0
27,8732,2018-01-02,03:00,25.6,Parts per billion,1 HOUR,HOURLY,1.0
28,8731,2018-01-02,04:00,25.1,Parts per billion,1 HOUR,HOURLY,1.0
29,8730,2018-01-02,05:00,23.9,Parts per billion,1 HOUR,HOURLY,1.0
30,8729,2018-01-02,06:00,33.8,Parts per billion,1 HOUR,HOURLY,1.0
31,8728,2018-01-02,07:00,35.1,Parts per billion,1 HOUR,HOURLY,1.0
32,8727,2018-01-02,08:00,40.3,Parts per billion,1 HOUR,HOURLY,1.0
33,8726,2018-01-02,09:00,45.9,Parts per billion,1 HOUR,HOURLY,1.0
34,8725,2018-01-02,10:00,66.9,Parts per billion,1 HOUR,HOURLY,1.0
35,8724,2018-01-02,11:00,63.2,Parts per billion,1 HOUR,HOURLY,1.0
36,8723,2018-01-02,12:00,68.9,Parts per billion,1 HOUR,HOURLY,1.0
37,8722,2018-01-02,13:00,60.6,Parts per billion,1 HOUR,HOURLY,1.0
38,8721,2018-01-02,14:00,51.9,Parts per billion,1 HOUR,HOURLY,1.0
39,8720,2018-01-02,15:00,45.7,Parts per billion,1 HOUR,HOURLY,1.0
40,8719,2018-01-02,16:00,41.3,Parts per billion,1 HOUR,HOURLY,1.0
41,8718,2018-01-02,17:00,35.9,Parts per billion,1 HOUR,HOURLY,1.0
42,8717,2018-01-02,18:00,43.1,Parts per billion,1 HOUR,HOURLY,1.0
43,8716,2018-01-02,19:00,49.0,Parts per billion,1 HOUR,HOURLY,1.0
44,8715,2018-01-02,20:00,49.1,Parts per billion,1 HOUR,HOURLY,1.0
45,8714,2018-01-02,21:00,53.8,Parts per billion,1 HOUR,HOURLY,1.0
46,8713,2018-01-02,22:00,52.9,Parts per billion,1 HOUR,HOURLY,1.0
47,8712,2018-01-02,23:00,50.0,Parts per billion,1 HOUR,HOURLY,1.0
48,8711,2018-01-03,00:00,49.1,Parts per billion,1 HOUR,HOURLY,1.0
49,8710,2018-01-03,01:00,46.8,Parts per billion,1 HOUR,HOURLY,1.0
50,8709,2018-01-03,02:00,45.2,Parts per billion,1 HOUR,HOURLY,1.0
51,8708,2018-01-03,03:00,35.8,Parts per billion,1 HOUR,HOURLY,1.0
52,8707,2018-01-03,04:00,42.0,Parts per billion,1 HOUR,HOURLY,1.0
53,8706,2018-01-03,05:00,41.3,Parts per billion,1 HOUR,HOURLY,1.0
54,8705,2018-01-03,06:00,53.6,Parts per billion,1 HOUR,HOURLY,1.0
55,8704,2018-01-03,07:00,57.0,Parts per billion,1 HOUR,HOURLY,1.0
56,8703,2018-01-03,08:00,57.8,Parts per billion,1 HOUR,HOURLY,1.0
57,8702,2018-01-03,09:00,54.7,Parts per billion,1 HOUR,HOURLY,1.0
58,8701,2018-01-03,10:00,51.7,Parts per billion,1 HOUR,HOURLY,1.0
59,8700,2018-01-03,11:00,53.3,Parts per billion,1 HOUR,HOURLY,1.0
60,8699,2018-01-03,12:00,51.4,Parts per billion,1 HOUR,HOURLY,1.0
61,8698,2018-01-03,13:00,55.6,Parts per billion,1 HOUR,HOURLY,1.0
62,8697,2018-01-03,14:00,77.0,Parts per billion,1 HOUR,HOURLY,1.0
63,8696,2018-01-03,15:00,73.6,Parts per billion,1 HOUR,HOURLY,1.0
64,8695,2018-01-03,16:00,56.6,Parts per billion,1 HOUR,HOURLY,1.0
65,8694,2018-01-03,17:00,45.7,Parts per billion,1 HOUR,HOURLY,1.0
66,8693,2018-01-03,18:00,38.7,Parts per billion,1 HOUR,HOURLY,1.0
67,8692,2018-01-03,19:00,42.7,Parts per billion,1 HOUR,HOURLY,1.0
68,8691,2018-01-03,20:00,45.4,Parts per billion,1 HOUR,HOURLY,1.0
69,8690,2018-01-03,21:00,42.9,Parts per billion,1 HOUR,HOURLY,1.0
70,8689,2018-01-03,22:00,33.3,Parts per billion,1 HOUR,HOURLY,1.0
71,8688,2018-01-03,23:00,30.6,Parts per billion,1 HOUR,HOURLY,1.0
72,8687,2018-01-04,00:00,35.8,Parts per billion,1 HOUR,HOURLY,1.0
73,8686,2018-01-04,01:00,39.0,Parts per billion,1 HOUR,HOURLY,1.0
74,8685,2018-01-04,02:00,37.1,Parts per billion,1 HOUR,HOURLY,1.0
75,8684,2018-01-04,03:00,33.9,Parts per billion,1 HOUR,HOURLY,1.0
76,8683,2018-01-04,04:00,31.8,Parts per billion,1 HOUR,HOURLY,1.0
77,8682,2018-01-04,05:00,27.9,Parts per billion,1 HOUR,HOURLY,1.0
78,8681,2018-01-04,06:00,26.3,Parts per billion,1 HOUR,HOURLY,1.0
79,8680,2018-01-04,07:00,24.8,Parts per billion,1 HOUR,HOURLY,1.0
