date,time,tempC,windspeedKmph,winddirDegree,precipMM,humidity,visibility,pressure,cloudcover,DewPointC,WindGustKmph
2019-01-01,0,12,10,21,0.0,18,10,1018,0,-11,18
2019-01-01,100,12,10,19,0.0,18,10,1018,0,-11,15
2019-01-01,200,12,9,16,0.0,19,10,1019,0,-11,12
2019-01-01,300,12,9,14,0.0,20,10,1019,0,-11,9
2019-01-01,400,11,8,50,0.0,20,10,1020,0,-11,8
2019-01-01,500,11,6,86,0.0,20,10,1021,0,-11,7
2019-01-01,600,10,5,122,0.0,21,10,1021,0,-11,6
2019-01-01,700,11,5,161,0.0,19,10,1022,0,-12,7
2019-01-01,800,12,5,200,0.0,17,10,1022,0,-13,7
2019-01-01,900,12,6,240,0.0,15,10,1023,0,-13,7
2019-01-01,1000,13,6,164,0.0,14,10,1022,0,-14,7
2019-01-01,1100,13,6,89,0.0,13,10,1022,0,-14,8
2019-01-01,1200,14,6,14,0.0,13,10,1021,0,-14,8
2019-01-01,1300,14,7,16,0.0,13,10,1021,0,-14,8
2019-01-01,1400,14,7,19,0.0,13,10,1022,0,-13,8
2019-01-01,1500,15,8,21,0.0,13,10,1022,0,-13,8
2019-01-01,1600,14,9,59,0.0,14,10,1022,1,-13,9
2019-01-01,1700,14,10,97,0.0,15,10,1022,2,-13,10
2019-01-01,1800,13,11,135,0.0,15,10,1023,3,-13,11
2019-01-01,1900,13,10,208,0.0,16,10,1023,27,-13,12
2019-01-01,2000,12,9,281,0.0,16,10,1023,51,-13,13
2019-01-01,2100,12,8,354,0.0,16,10,1023,75,-13,14
2019-01-01,2200,10,8,350,0.0,21,10,1023,68,-12,14
2019-01-01,2300,8,8,345,0.0,27,10,1022,62,-10,14
2019-01-02,0,7,8,341,0.0,32,10,1022,55,-9,14
2019-01-02,100,6,7,338,0.0,34,10,1022,38,-8,13
2019-01-02,200,5,7,335,0.0,37,10,1022,21,-8,12
2019-01-02,300,4,6,332,0.0,39,10,1022,4,-8,10
2019-01-02,400,7,6,330,0.0,33,10,1023,3,-8,10
2019-01-02,500,10,6,328,0.0,26,10,1023,1,-9,9
2019-01-02,600,13,6,325,0.0,20,10,1024,0,-10,9
2019-01-02,700,14,6,313,0.0,18,10,1024,0,-10,7
2019-01-02,800,15,6,301,0.0,16,10,1025,0,-11,6
2019-01-02,900,16,5,288,0.0,14,10,1025,0,-11,5
2019-01-02,1000,17,4,260,0.0,13,10,1024,0,-11,6
2019-01-02,1100,18,4,232,0.0,13,10,1024,0,-11,6
2019-01-02,1200,19,3,204,0.0,12,10,1023,0,-11,7
2019-01-02,1300,19,3,205,0.0,14,10,1023,0,-9,9
2019-01-02,1400,19,2,206,0.0,16,10,1023,0,-7,12
2019-01-02,1500,19,1,207,0.0,18,10,1023,0,-6,14
2019-01-02,1600,19,1,211,0.0,22,10,1024,0,-4,14
2019-01-02,1700,18,1,215,0.0,25,10,1024,0,-2,13
2019-01-02,1800,18,1,220,0.0,29,10,1025,0,-1,13
2019-01-02,1900,17,2,204,0.0,29,10,1025,0,-1,10
2019-01-02,2000,16,2,188,0.0,28,10,1025,0,-2,7
2019-01-02,2100,16,2,172,0.0,28,10,1025,0,-3,4
2019-01-02,2200,15,2,161,0.0,28,10,1025,0,-3,4
2019-01-02,2300,15,3,150,0.0,28,10,1025,0,-3,4
2019-01-03,0,15,3,139,0.0,28,10,1024,0,-4,3
2019-01-03,100,14,3,210,0.0,27,10,1024,0,-4,4
2019-01-03,200,14,4,280,0.0,26,10,1024,0,-5,5
2019-01-03,300,13,4,351,0.0,26,10,1024,0,-6,6
2019-01-03,400,13,4,346,0.0,27,10,1024,0,-6,7
2019-01-03,500,13,5,340,0.0,27,10,1024,0,-6,8
2019-01-03,600,12,5,334,0.0,28,10,1024,0,-6,9
2019-01-03,700,13,4,323,0.0,26,10,1024,2,-6,8
2019-01-03,800,14,4,313,0.0,24,10,1024,3,-7,6
2019-01-03,900,15,3,302,0.0,22,10,1024,5,-7,5
2019-01-03,1000,16,2,279,0.0,21,10,1023,3,-6,5
2019-01-03,1100,18,1,255,0.0,20,10,1022,2,-6,4
2019-01-03,1200,19,0,232,0.0,19,10,1021,1,-5,3
2019-01-03,1300,19,1,226,0.0,21,10,1021,1,-4,5
2019-01-03,1400,18,1,220,0.0,24,10,1020,0,-3,8
2019-01-03,1500,18,2,215,0.0,26,10,1020,0,-2,10
2019-01-03,1600,18,2,222,0.0,30,10,1020,0,-0,10
2019-01-03,1700,18,2,229,0.0,34,10,1020,0,1,10
2019-01-03,1800,17,1,236,0.0,38,10,1021,0,3,10
2019-01-03,1900,17,1,255,0.0,38,10,1021,0,3,8
2019-01-03,2000,17,1,275,0.0,39,10,1021,0,3,6
2019-01-03,2100,17,0,294,0.0,40,10,1021,0,3,4
2019-01-03,2200,16,1,272,0.0,41,10,1020,0,3,4
2019-01-03,2300,16,2,251,0.0,42,10,1020,0,3,3
2019-01-04,0,16,3,229,0.0,43,10,1020,0,3,3
2019-01-04,100,15,3,156,0.0,42,10,1019,0,3,3
2019-01-04,200,15,3,82,0.0,41,10,1019,0,2,3
2019-01-04,300,15,3,9,0.0,40,10,1019,0,2,4
2019-01-04,400,14,3,10,0.0,39,10,1019,0,1,4
2019-01-04,500,14,2,11,0.0,38,10,1019,0,0,4
2019-01-04,600,14,2,12,0.0,37,10,1018,0,-1,4
2019-01-04,700,15,2,37,0.0,33,10,1018,0,-1,4
2019-01-04,800,16,2,62,0.0,30,10,1018,0,-2,4
2019-01-04,900,17,2,87,0.0,26,10,1018,0,-3,4
2019-01-04,1000,18,2,126,0.0,26,10,1017,0,-2,5
2019-01-04,1100,18,2,165,0.0,26,10,1017,0,-1,5
2019-01-04,1200,19,2,205,0.0,26,10,1016,0,-1,6
2019-01-04,1300,19,2,199,0.0,28,10,1016,0,0,7
2019-01-04,1400,19,2,192,0.0,30,10,1016,0,1,8
2019-01-04,1500,20,1,186,0.0,32,10,1015,0,3,10
2019-01-04,1600,18,1,189,0.0,38,10,1015,2,3,9
2019-01-04,1700,17,1,192,0.0,43,10,1015,3,4,7
2019-01-04,1800,16,0,195,0.0,49,10,1015,5,5,6
2019-01-04,1900,15,0,196,0.0,51,10,1016,27,5,5
2019-01-04,2000,14,0,198,0.0,53,10,1016,49,4,4
2019-01-04,2100,13,0,199,0.0,54,10,1016,72,4,3
2019-01-04,2200,13,1,184,0.0,55,10,1015,50,4,4
2019-01-04,2300,14,2,168,0.0,55,10,1015,28,5,4
2019-01-05,0,14,3,153,0.0,56,10,1015,5,5,4
2019-01-05,100,13,2,143,0.0,57,10,1014,20,5,5
2019-01-05,200,13,2,133,0.0,58,10,1014,35,5,6
2019-01-05,300,12,1,123,0.0,59,10,1014,50,4,6
2019-01-05,400,12,1,123,0.0,58,10,1014,49,4,7
2019-01-05,500,12,1,122,0.0,57,10,1014,49,4,8
2019-01-05,600,12,0,121,0.0,55,10,1014,48,3,9
2019-01-05,700,12,2,125,0.0,57,10,1015,44,4,9
2019-01-05,800,13,3,130,0.0,58,10,1015,39,5,10
2019-01-05,900,13,5,134,0.0,59,10,1015,35,5,11
2019-01-05,1000,13,5,142,0.0,60,10,1015,40,5,12
2019-01-05,1100,13,6,149,0.0,60,10,1015,46,6,13
